reactor 621.231995 -1921.218994 143.125000 0.000000 177.000000 0.000000 0.000000 0.000000 1.000000 30.000000 177.000000 1.000000
mgturret 682.382324 -2117.899902 195.125000 0.000000 -140.000000 0.000000 0.000000 0.000000 1.000000 0.000000 -140.000000 1.000000
mgturret 990.663147 -1836.572876 148.125000 0.000000 89.000000 0.000000 0.000000 0.000000 1.000000 0.000000 89.000000 1.000000
overmind 855.977295 -2045.479492 847.125000 0.000000 -106.000000 0.000000 0.000000 0.000000 1.000000 30.000000 -106.000000 1.000000
telenode 1135.231201 -2194.921387 132.125000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 30.000000 0.000000 1.000000
barricade 949.463013 -1825.263550 847.125000 0.000000 -118.000000 0.000000 0.000000 0.000000 1.000000 30.000000 -118.000000 1.000000
barricade 908.835327 -2239.959473 847.125000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 30.000000 0.000000 1.000000
barricade 945.023560 -2028.070190 847.125000 0.000000 176.000000 0.000000 0.000000 0.000000 1.000000 30.000000 176.000000 1.000000
medistat 894.540161 -2012.556030 135.125000 0.000000 179.000000 0.000000 0.000000 0.000000 1.000000 30.000000 179.000000 1.000000
acid_tube 982.653015 -2328.618652 847.125000 0.000000 -167.000000 0.000000 0.000000 0.000000 1.000000 30.000000 -167.000000 1.000000
eggpod 708.357666 -2629.453369 847.125000 0.000000 -97.000000 0.000000 0.000000 0.000000 1.000000 30.000000 -97.000000 1.000000
acid_tube 930.091431 -2085.870361 894.125000 0.000000 -133.000000 0.000000 0.000000 0.000000 1.000000 30.000000 -133.000000 1.000000
telenode 675.114807 -1839.528931 132.125000 0.000000 174.000000 0.000000 0.000000 0.000000 1.000000 30.000000 174.000000 1.000000
acid_tube 776.895508 -2599.862793 894.125000 0.000000 -152.000000 0.000000 0.000000 0.000000 1.000000 30.000000 -152.000000 1.000000
mgturret 1175.267822 -2401.788086 148.125000 0.000000 -91.000000 0.000000 0.000000 0.000000 1.000000 0.000000 -91.000000 1.000000
eggpod 1287.048340 -1814.527100 847.125000 0.000000 3.000000 0.000000 0.000000 0.000000 1.000000 30.000000 3.000000 1.000000
mgturret 1156.916260 -2041.649536 195.125000 0.000000 -29.000000 0.000000 0.000000 0.000000 1.000000 0.000000 -29.000000 1.000000
acid_tube 1231.674439 -1892.804443 894.125000 0.000000 -39.000000 0.000000 0.000000 0.000000 1.000000 30.000000 -39.000000 1.000000
acid_tube 1184.506958 -2721.086914 847.625000 0.000000 -88.000000 0.000000 0.000000 0.000000 1.000000 30.000000 -88.000000 1.000000
arm 816.348450 -2010.560303 141.125000 0.000000 -87.000000 0.000000 0.000000 0.000000 1.000000 30.000000 -87.000000 1.000000
